n,x,s,p,n_next,x_next,s_next,p_next,count,count_smoothed,prob
1,1,1,-1,2,2,-2,1,0,1,0.03225806451612903
1,1,1,-1,2,2,-1,-1,0,1,0.03225806451612903
1,1,1,-1,2,2,-1,1,0,1,0.03225806451612903
1,1,1,-1,2,2,0,-1,0,1,0.03225806451612903
1,1,1,-1,2,2,0,1,0,1,0.03225806451612903
1,1,1,-1,2,2,1,-1,0,1,0.03225806451612903
1,1,1,-1,2,2,1,1,1,2,0.06451612903225806
1,1,1,-1,2,3,-3,-1,0,1,0.03225806451612903
1,1,1,-1,2,3,-3,1,0,1,0.03225806451612903
1,1,1,-1,2,3,-2,-1,0,1,0.03225806451612903
1,1,1,-1,2,3,-2,1,0,1,0.03225806451612903
1,1,1,-1,2,3,-1,-1,0,1,0.03225806451612903
1,1,1,-1,2,3,-1,1,0,1,0.03225806451612903
1,1,1,-1,2,3,0,-1,0,1,0.03225806451612903
1,1,1,-1,2,3,0,1,0,1,0.03225806451612903
1,1,1,-1,2,3,1,-1,0,1,0.03225806451612903
1,1,1,-1,2,3,1,1,0,1,0.03225806451612903
1,1,1,1,2,1,1,-1,0,1,0.05555555555555555
1,1,1,1,2,1,1,1,0,1,0.05555555555555555
1,1,1,1,2,1,2,-1,0,1,0.05555555555555555
1,1,1,1,2,1,2,1,0,1,0.05555555555555555
1,1,1,1,2,1,3,-1,0,1,0.05555555555555555
1,1,1,1,2,1,3,1,0,1,0.05555555555555555
1,1,1,1,2,2,1,-1,0,1,0.05555555555555555
1,1,1,1,2,2,1,1,0,1,0.05555555555555555
1,1,1,1,2,2,2,-1,0,1,0.05555555555555555
1,1,1,1,2,2,2,1,0,1,0.05555555555555555
1,1,1,1,2,2,3,-1,0,1,0.05555555555555555
1,1,1,1,2,2,3,1,0,1,0.05555555555555555
1,1,1,1,2,3,1,-1,0,1,0.05555555555555555
1,1,1,1,2,3,1,1,0,1,0.05555555555555555
1,1,1,1,2,3,2,-1,0,1,0.05555555555555555
1,1,1,1,2,3,2,1,0,1,0.05555555555555555
1,1,1,1,2,3,3,-1,0,1,0.05555555555555555
1,1,1,1,2,3,3,1,0,1,0.05555555555555555
1,1,2,-1,2,1,-3,-1,0,1,0.02127659574468085
1,1,2,-1,2,1,-3,1,0,1,0.02127659574468085
1,1,2,-1,2,1,-2,-1,0,1,0.02127659574468085
1,1,2,-1,2,1,-2,1,0,1,0.02127659574468085
1,1,2,-1,2,1,-1,-1,0,1,0.02127659574468085
1,1,2,-1,2,1,-1,1,0,1,0.02127659574468085
1,1,2,-1,2,1,0,-1,0,1,0.02127659574468085
1,1,2,-1,2,1,0,1,0,1,0.02127659574468085
1,1,2,-1,2,1,1,-1,0,1,0.02127659574468085
1,1,2,-1,2,1,1,1,0,1,0.02127659574468085
1,1,2,-1,2,1,2,-1,0,1,0.02127659574468085
1,1,2,-1,2,1,2,1,0,1,0.02127659574468085
1,1,2,-1,2,2,-3,-1,0,1,0.02127659574468085
1,1,2,-1,2,2,-3,1,0,1,0.02127659574468085
1,1,2,-1,2,2,-2,-1,0,1,0.02127659574468085
1,1,2,-1,2,2,-2,1,0,1,0.02127659574468085
1,1,2,-1,2,2,-1,-1,0,1,0.02127659574468085
1,1,2,-1,2,2,-1,1,0,1,0.02127659574468085
1,1,2,-1,2,2,0,-1,0,1,0.02127659574468085
1,1,2,-1,2,2,0,1,0,1,0.02127659574468085
1,1,2,-1,2,2,1,-1,0,1,0.02127659574468085
1,1,2,-1,2,2,1,1,0,1,0.02127659574468085
1,1,2,-1,2,2,2,-1,8,9,0.19148936170212766
1,1,2,-1,2,2,2,1,3,4,0.0851063829787234
1,1,2,-1,2,3,-3,-1,0,1,0.02127659574468085
1,1,2,-1,2,3,-3,1,0,1,0.02127659574468085
1,1,2,-1,2,3,-2,-1,0,1,0.02127659574468085
1,1,2,-1,2,3,-2,1,0,1,0.02127659574468085
1,1,2,-1,2,3,-1,-1,0,1,0.02127659574468085
1,1,2,-1,2,3,-1,1,0,1,0.02127659574468085
1,1,2,-1,2,3,0,-1,0,1,0.02127659574468085
1,1,2,-1,2,3,0,1,0,1,0.02127659574468085
1,1,2,-1,2,3,1,-1,0,1,0.02127659574468085
1,1,2,-1,2,3,1,1,0,1,0.02127659574468085
1,1,2,-1,2,3,2,-1,0,1,0.02127659574468085
1,1,2,-1,2,3,2,1,0,1,0.02127659574468085
1,1,2,1,2,1,2,-1,0,1,0.08333333333333333
1,1,2,1,2,1,2,1,0,1,0.08333333333333333
1,1,2,1,2,1,3,-1,0,1,0.08333333333333333
1,1,2,1,2,1,3,1,0,1,0.08333333333333333
1,1,2,1,2,2,2,-1,0,1,0.08333333333333333
1,1,2,1,2,2,2,1,0,1,0.08333333333333333
1,1,2,1,2,2,3,-1,0,1,0.08333333333333333
1,1,2,1,2,2,3,1,0,1,0.08333333333333333
1,1,2,1,2,3,2,-1,0,1,0.08333333333333333
1,1,2,1,2,3,2,1,0,1,0.08333333333333333
1,1,2,1,2,3,3,-1,0,1,0.08333333333333333
1,1,2,1,2,3,3,1,0,1,0.08333333333333333
1,1,3,-1,2,1,-3,-1,0,1,0.023809523809523808
1,1,3,-1,2,1,-3,1,0,1,0.023809523809523808
1,1,3,-1,2,1,-2,-1,0,1,0.023809523809523808
1,1,3,-1,2,1,-2,1,0,1,0.023809523809523808
1,1,3,-1,2,1,-1,-1,0,1,0.023809523809523808
1,1,3,-1,2,1,-1,1,0,1,0.023809523809523808
1,1,3,-1,2,1,0,-1,0,1,0.023809523809523808
1,1,3,-1,2,1,0,1,0,1,0.023809523809523808
1,1,3,-1,2,1,1,-1,0,1,0.023809523809523808
1,1,3,-1,2,1,1,1,0,1,0.023809523809523808
1,1,3,-1,2,1,2,-1,0,1,0.023809523809523808
